product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,current_age,current_age_method,sem_age,previous_enrichment_age,identity_enrichment_age,age_replay_value,age_replay_decision,age_replay_reason,pilot_stratum,label_age_pilot,label_age_pilot_notes,manual_age_min_years,manual_age_min_years_source,manual_age_max_years,manual_age_population_scope,manual_age_segment_reconciled,manual_age_segment_decision,manual_age_reconciliation_status,manual_age_reconciliation_reason,manual_age_threshold_confidence,manual_age_needs_threshold_review,age_segment_changed_from_replay,age_threshold_extract_raw,age_reconciliation_warning,label_age_threshold_approve,label_age_threshold_notes
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,skip_catalog,resolved_catalog,unknown,not_resolved,,,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_adults,Взрослый с 16 лет,16,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 16 in reviewer note. 16+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 16 лет,"label should_be_adults not mapped to взрослые: threshold 16 is adolescent_plus_adult, not adults-only",,
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,взрослые,,взрослые,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей с 3 лет,3,explicit_reviewer_note,,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 3 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,true,с 3 лет,,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,,,универсальный,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_universal,Подтверждено применение у детей с 1 года,1,explicit_reviewer_note,,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 1 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,true,с 1 года,,,
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,взрослые,,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,,,универсальный,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Осельтамивир,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,true,,universal from label only; no numeric min,,
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Пиона уклоняющегося травы, корневищ и корней настойка",reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,new_enrichment,unresolved_catalog,unknown,not_resolved,,универсальный,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_universal,Подтверждено применение у детей с 6 лет,6,explicit_reviewer_note,,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 6 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,true,с 6 лет,,,
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,true,,universal from label only; no numeric min,,
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,взрослые,,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_universal,Подтверждено применение у детей с 2 лет,2,explicit_reviewer_note,,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 2 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,true,с 2 лет,,,
11142,НУРОФАСТ ТАБЛ. П/ПЛЕН/ОБ. 200МГ №20 | АЛИУМ АО | АЛИУМ АО,Ибупрофен,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,true,,universal from label only; no numeric min,,
11272,НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,,new_enrichment,unresolved_catalog,not_applicable,not_applicable,взрослые,универсальный,универсальный,unknown,insufficient_existing_evidence,historical not_applicable without approved M2 non-drug gate; do not infer non-drug or conflict from historical field alone,special_identity_product,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Лидокаин,skip_strong_input_mnn,resolved_input_explicit,unknown,not_resolved,,,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
16485,КРУШИНЫ КОРА Ф/П 2Г №20 ФИТО-БОТ | ФИТО-БОТ ФИРМА ООО | ФИТО-БОТ ФИРМА ООО,Крушины ольховидной кора,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
16623,КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,Кандесартан,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,,new_enrichment,unresolved_catalog,unknown,not_resolved,,универсальный,универсальный,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,true,с 12 лет,"label should_be_adults not mapped to взрослые: threshold 12 is adolescent_plus_adult, not adults-only",,
20122,ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,Диосмин,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,взрослые,,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",special_identity_product,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,true,с 18 лет,,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон,skip_strong_input_mnn,resolved_input_explicit,unknown,not_resolved,,,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,special_identity_product,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,true,,universal from label only; no numeric min,,
21010,ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,skip_strong_input_mnn,resolved_input_explicit,unknown,not_resolved,,,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_universal,Подтверждено применение у детей с 3 лет,3,explicit_reviewer_note,,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 3 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,true,с 3 лет,,,
