product_id,product_kind,normalized_text,attr_mnn,attr_rx_otc,attr_brand,attr_combination_hint,mnn_enriched,rx_otc_enriched,combination_hint_enriched,mnn_source,rx_source,confidence_enriched,explanation_enriched,error_message,enrich_kind,enrich_skip_reason,enrich_status,prompt_version
97,vitamin_or_baa,НЕЙРВАНА р-р 350мл Витаукт-пром | Витаукт-Пром ООО | Витаукт-Пром ООО,,,Нейрвана,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.0,"В предоставленном тексте отсутствует информация о составе продукта, поэтому невозможно определить ключевой нутриент или тип комбинации компонентов.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
145,drug,"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",,рецептурный,Мексикор,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"Текст содержит только торговое название «Мексикор» без указания действующего вещества, поэтому определить МНН невозможно. Хотя препарат является инъекционным и обычно отпускается по рецепту, в предоставленном тексте нет явного подтверждения статуса рецептурного отпуска, поэтому rx_otc установлен как unknown.",,drug,,enriched,prompt_enrichment_v1
224,vitamin_or_baa,ЗОЛОТОЙ КОНЕК таб. N20 ПТ. ИКОНГ Фармацевтикал Индастри КО | Пт. Иконг фармацевтикал индастри Ко | Пт. Иконг фармацевтикал индастри Ко | N20,,,Золотой конек,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В предоставленном тексте отсутствует информация о составе продукта, поэтому невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
310,drug,ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Юнидокс Солютаб,,доксициклин,rx,,qwen_enrichment,qwen_enrichment,1.0,"Согласно предоставленному семантическому объяснению, препарат Юнидокс Солютаб содержит действующее вещество доксициклин и отпускается по рецепту.",,drug,,enriched,prompt_enrichment_v1
358,drug,ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,,otc,Эффералган,монопрепарат,парацетамол,otc,,qwen_enrichment,qwen_enrichment,0.95,Препарат Эффералган является известным торговым названием парацетамола в дозировке 500 мг. Это безрецептурный анальгетик-антипиретик.,,drug,,enriched,prompt_enrichment_v1
459,drug,ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,rx,Эторелекс,,,unknown,,qwen_enrichment,qwen_enrichment,0.4,"Торговое название «Эторелекс» не содержит явного указания на международное непатентованное наименование (INN), поэтому определить действующее вещество невозможно без внешних данных. Хотя препарат с высокой долей вероятности является рецептурным, в предоставленном тексте статус рецептурности прямо не указан.",,drug,,enriched,prompt_enrichment_v1
681,vitamin_or_baa,"ЭНТЕГНИН-Н ТАБЛ. 0,47Г №100 | В-МИН+ ООО | В-МИН+ ООО",,,ЭНТЕГНИН-Н,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,В предоставленном тексте и базовых атрибутах отсутствует информация о конкретном действующем веществе или составе продукта. Без указания нутриентов невозможно определить доминирующий компонент или классифицировать продукт как моно- или многокомпонентный.,,vitamin_or_baa,,enriched,prompt_enrichment_v1
711,drug,ЭНАП ТАБЛ. 5МГ №20 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,Энап,,эналаприл,rx,,qwen_enrichment,qwen_enrichment,0.95,"Препарат Энап является торговым названием эналаприла, ингибитора АПФ, что подтверждается его терапевтическим классом и дозировкой. Все препараты этой группы в России отпускаются строго по рецепту.",,drug,,enriched,prompt_enrichment_v1
780,drug,ЭМСИБЕЛ Р-Р Д/ИН. 10МГ/МЛ АМП. 1МЛ №10 | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,ЭМСИБЕЛ,,,unknown,,qwen_enrichment,qwen_enrichment,0.5,"Действующее вещество не указано в тексте и не может быть однозначно определено по торговому названию Эмсибел без дополнительных данных. Хотя препарат является инъекционным раствором, его статус рецептурности или безрецептурного отпуска также не подтвержден явным образом в предоставленной информации.",,drug,,enriched,prompt_enrichment_v1
905,drug,ЭЛИДЕЛ КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | МЕДА МАНУФАКЧУРИНГ | МЕДА МАНУФАКЧУРИНГ,,рецептурный,Элидел,,,unknown,,qwen_enrichment,qwen_enrichment,0.4,"Текст содержит только торговое название «Элидел» без указания действующего вещества, поэтому МНН определить невозможно. Хотя препарат известен как рецептурный, в предоставленном тексте нет явных указаний на статус отпуска, поэтому установлен статус unknown.",,drug,,enriched,prompt_enrichment_v1
988,drug,ЭКОФУЦИН СУПП. ВАГ. 100МГ №3 | ///АВВА РУС АО | ///АВВА РУС АО,,otc,Экофуцин,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"В предоставленном тексте и атрибутах не указано международное непатентованное наименование (МНН) действующего вещества препарата Экофуцин. Хотя в исходных данных упоминается статус OTC, без точного знания состава невозможно подтвердить его безрецептурный статус с высокой уверенностью.",,drug,,enriched,prompt_enrichment_v1
1114,drug,ЭЙФА АЦ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК-САШЕ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Эйфа АЦ,монопрепарат,ацетилцистеин,otc,,qwen_enrichment,qwen_enrichment,0.95,"Сокращение «АЦ» в названии препарата и описание формы выпуска однозначно указывают на действующее вещество ацетилцистеин. Ацетилцистеин является муколитиком, который в дозировке 200 мг обычно отпускается без рецепта.",,drug,,enriched,prompt_enrichment_v1
1243,vitamin_or_baa,ЭВИТАЛИЯ ЗАКВАСКА ДЛЯ АЦИДОФИЛИНА ПРОБИОТИЧЕСКОГО САШЕ 2Г №5 | В-МИН+ ООО | В-МИН+ ООО,,,Эвиталия,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"Продукт является пробиотической закваской с неопределенным микробным составом, поэтому конкретное действующее вещество (МНН) в списке нутриентов отсутствует. Так как тип бактерий не указан, невозможно определить, является ли продукт моно- или многокомпонентным.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
1256,drug,ЭВАМЕНОЛ НАЗО КАПЛИ НАЗ. 1%+3% ФЛ-КАП. 12МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,otc,Эваменол Назо,комбинированный,,otc,,qwen_enrichment,qwen_enrichment,0.65,"Текст не содержит явного указания на международное непатентованное наименование (МНН) активных веществ, поэтому поле mnn оставлено пустым. Препарат классифицируется как безрецептурный (OTC), так как это симптоматическое средство для местного применения.",,drug,,enriched,prompt_enrichment_v1
1347,drug,ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,,,VOGT MEDICAL,,,unknown,,qwen_enrichment,qwen_enrichment,1.0,"Товар является медицинским изделием (одноразовый шприц), а не лекарственным препаратом, поэтому у него отсутствует международное непатентованное наименование (МНН) и статус рецептурности.",,drug,,enriched,prompt_enrichment_v1
1379,drug,"ШПРИЦ ИНСУЛИН. МИКРО-ФАЙН ПЛЮС U-100 3-Х КОМП. 0,5МЛ ИГЛА 29G №10 | БЕКТОН ДИКИНСОН | БЕКТОН ДИКИНСОН | 29 G",,,Бектон Дикинсон,,,unknown,,qwen_enrichment,qwen_enrichment,1.0,"Товар представляет собой медицинское изделие (инсулиновый шприц), а не лекарственный препарат, поэтому у него отсутствует международное непатентованное наименование (МНН) и категория отпуска.",,drug,,enriched,prompt_enrichment_v1
1384,drug,ШПРИЦ ИНСУЛИН. U-40 ОДНОРАЗ. 3-Х КОМП. 1МЛ ИГЛА 26G №1 SFM | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | 26 G,,,SFM,,,unknown,,qwen_enrichment,qwen_enrichment,0.95,"Товар является медицинским изделием (инсулиновый шприц), а не лекарственным препаратом, поэтому у него отсутствует международное непатентованное наименование (МНН) и статус рецептурности.",,drug,,enriched,prompt_enrichment_v1
1402,drug,ШПРИЦ ИНЕКТА ИНСУЛИН. ОДНОРАЗ. 3-КОМП. 1МЛ ИГЛА 26G №1 | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | 26 G,,,Инекта,,,unknown,,qwen_enrichment,qwen_enrichment,0.95,"Товар представляет собой медицинское изделие (инсулиновый шприц), а не лекарственный препарат, поэтому у него нет действующего вещества (МНН) и рецептурного статуса.",,drug,,enriched,prompt_enrichment_v1
1623,vitamin_or_baa,ЧЕРНИКА ФОРТЕ С ЛЮТЕИНОМ КАПС. №45 ФАРМ-ПРО | ФАРМ-ПРО ПК ООО | ФАРМ-ПРО ПК ООО,Комплекс,,Черника Форте,черника + лютеин,Комплекс,не применимо,multicomponent,qwen_enrichment,qwen_enrichment,0.95,"Продукт содержит комбинированный состав на основе черники и лютеина, что указывает на наличие нескольких активных компонентов без одного доминирующего нутриента из списка.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
1800,drug,ЦИННАБСИН ТАБЛ. Д/РАССАС. ГОМЕОП. №100 | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ,,otc,Циннабсин,,,otc,,qwen_enrichment,qwen_enrichment,0.85,"Препарат является гомеопатическим средством (Циннабсин), для которого не применяется стандартная система МНН в виде одного активного вещества, поэтому mnn установлен в null. Гомеопатические препараты в России относятся к безрецептурным средствам.",,drug,,enriched,prompt_enrichment_v1
1989,drug,ЦЕРЕБРОЛИЗАТ Р-Р ДЛЯ В/М ВВЕД. АМП. 1МЛ №10 БЕЛМЕДПРЕПАРАТЫ | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Церебролизат,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"Товар назван «Церебролизат», что является торговым названием, а не международным непатентованным наименованием (МНН); МНН для этого препарата — цитиколин или пептиды, но в тексте они явно не указаны. Хотя препарат относится к ноотропам и обычно отпускается по рецепту, статус рецептурности нельзя подтвердить исключительно на основе предоставленного текста без внешних знаний.",,drug,,enriched,prompt_enrichment_v1
1990,vitamin_or_baa,ЦЕРЕБРАМИН ТАБЛ. П/О №40 | КЛИНИКА ИНСТИТ.БИОРЕГУЛЯЦ. И ГЕРОНТОЛОГИИ | КЛИНИКА ИНСТИТ.БИОРЕГУЛЯЦ. И ГЕРОНТОЛОГИИ,,,Церебрамин,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В предоставленном тексте не указаны конкретные действующие вещества или состав продукта, поэтому невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
2043,vitamin_or_baa,"ЦВЕТУЩИЙ ЛУГ ЭЛЕУТЕРОКОКК П ТАБЛ. 0,205Г №100 | ПАРАФАРМ ООО | ПАРАФАРМ ООО",,,Цветущий луг,монопрепарат,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.4,"Продукт содержит растительный экстракт элеутерококка, который не входит в список конкретных нутриентов или витаминов для определения mnn. Хотя это монокомпонентный препарат на основе одного растения, точное соответствие заданному списку отсутствует.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
2148,drug,ХОНСАТ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №5 | Армавирская биологическая фабрика/Эллара ООО | Армавирская биологическая фабрика/Эллара ООО,,rx,Хонсат,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"Действующее вещество не указано в тексте и не может быть однозначно определено по торговому названию «Хонсат», так как оно может соответствовать разным хондропротекторам (например, глюкозамин или хондроитин). Статус рецептурности также не подтвержден явным образом в предоставленных данных.",,drug,,enriched,prompt_enrichment_v1
2193,vitamin_or_baa,ХОНДА МСМ ТАБЛ. П/О 2Г №120 | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,МСМ,,Хонда,монопрепарат,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.6,"Ключевой нутриент МСМ (метилсульфонилметан) не входит в предоставленный список допустимых ключевых веществ для поля mnn. Поскольку продукт является монокомпонентным, но активное вещество отсутствует в целевом перечне, значение mnn установлено как null.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
2249,drug,ХЛОРОФИЛЛИПТ ТАБЛ. Д/РАССАС. 25МГ №20 ВИФИТЕХ | ВИФИТЕХ | ВИФИТЕХ,,без рецепта,Хлорофиллипт,,хлорофиллипт,otc,,qwen_enrichment,qwen_enrichment,0.95,МНН препарата Хлорофиллипт — хлорофиллипт (смесь хлорофиллов из листьев эвкалипта). Препарат относится к безрецептурным средствам для местного применения.,,drug,,enriched,prompt_enrichment_v1
2630,drug,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,,otc,,монопрепарат,нитрофурал,otc,,qwen_enrichment,qwen_enrichment,0.95,"Товар содержит активное вещество нитрофурал (международное непатентованное наименование фурацилина), что подтверждается названием и описанием в семантическом объяснении. Препарат является антисептиком и отпускается без рецепта.",,drug,,enriched,prompt_enrichment_v1
2640,drug,ФУРАЦИЛИН ПОР. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ ПАКЕТ №10 МЕЛИГЕН | МЕЛИГЕН ФП | МЕЛИГЕН ФП,,otc,Мелиген ФП,монопрепарат,фурацилин,otc,,qwen_enrichment,qwen_enrichment,1.0,"Название препарата «ФУРАЦИЛИН» однозначно указывает на международное непатентованное наименование нитрофурал (короткая форма — фурацилин). Согласно тексту и стандартной практике, это безрецептурный антисептик.",,drug,,enriched,prompt_enrichment_v1
2811,drug,ФОСФОГЛИВ КАПС. №96 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Фосфоглив,комбинированный,,unknown,,qwen_enrichment,qwen_enrichment,0.4,"Текст не содержит явного указания на международное непатентованное наименование (МНН), хотя препарат Фосфоглив известен как комбинированный гепатопротектор. Статус рецептурности в предоставленном описании не подтвержден явно, поэтому для соблюдения правил осторожности установлен статус unknown.",,drug,,enriched,prompt_enrichment_v1
2906,drug,ФОРОЗА ТАБЛ. П/ПЛЕН/ОБ. 70МГ №12 НОВАРТИС | НОВАРТИС НЕВА ООО | НОВАРТИС НЕВА ООО,,rx,Фороза,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"В предоставленном тексте не указано действующее вещество препарата «Фороза», поэтому определить МНН невозможно. Хотя в базовых атрибутах указан статус рецептурного препарата, без подтверждения состава и официальных данных о регистрации точность определения статуса rx_otc снижается.",,drug,,enriched,prompt_enrichment_v1
2930,drug,"ФОРМИСОНИД ПОР. Д/ИНГ. ДОЗИР. 160МКГ+4,5МКГ/ДОЗА №60 С ИНГАЛЯТОРОМ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",,rx,Формисонид,комбинированный препарат,,unknown,,qwen_enrichment,qwen_enrichment,0.5,"Текст содержит только торговое название «Формисонид» без указания международных непатентованных наименований (МНН) действующих веществ, поэтому определить точный состав невозможно. Хотя ингаляционные препараты с комбинированной дозировкой обычно являются рецептурными, в предоставленном тексте нет явного подтверждения статуса рецептурности.",,drug,,enriched,prompt_enrichment_v1
2936,drug,ФОРМИДРОН Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. ФЛ. 50МЛ ЯРОСЛАВСКАЯ ФФ | ЯРОСЛАВСКАЯ ФФ | ЯРОСЛАВСКАЯ ФФ,,otc,Формидрон,,,otc,,qwen_enrichment,qwen_enrichment,0.85,"Текст не содержит явного указания на международное непатентованное наименование (МНН), поэтому поле mnn оставлено пустым. Препарат Формидрон является безрецептурным антисептиком для наружного применения.",,drug,,enriched,prompt_enrichment_v1
2977,vitamin_or_baa,ФОКУМАКС КАПС. №30 | СОЛЕФАРМ ООО | СОЛЕФАРМ ООО,,,Фокумакс,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В предоставленном тексте отсутствует информация о составе продукта, поэтому невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
3080,drug,ФЛУИМУЦИЛ-АНТИБИОТИК ИТ ЛИОФ. Д/Р-РА Д/ИН. И ИНГ. 500МГ ФЛ. №3 С РАСТВОРИТЕЛЕМ | ЗАМБОН С.П.А. | ЗАМБОН С.П.А.,,rx,Флуимуцил-антибиотик ИТ,,,unknown,,qwen_enrichment,qwen_enrichment,0.4,"Текст содержит торговое название «Флуимуцил-антибиотик ИТ», но не указывает конкретное международное непатентованное наименование (МНН) действующих веществ в явном виде. Хотя наличие слова «антибиотик» и формы выпуска намекает на рецептурный статус, без точного указания состава (например, тиамфеникола или ацетилцистеина) определить МНН и гарантировать категорию отпуска по тексту невозможно.",,drug,,enriched,prompt_enrichment_v1
3083,vitamin_or_baa,ФЛУВИР ПОР. Д/ПРИЕМА ВНУТРЬ САШЕ №10 | PROBIOTICAL S.P.A. | PROBIOTICAL S.P.A.,,,Флувир,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.5,"Продукт относится к пробиотикам (эубиотики), но в предоставленном тексте не указаны конкретные штаммы бактерий или другие нутриенты из списка. Поскольку состав не раскрыт, невозможно определить доминирующий компонент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
3169,drug,ФЛИКСОТИД АЭРОЗ. Д/ИНГАЛ. ДОЗИР. 250МКГ/ДОЗА ФЛ. 60ДОЗ | ГЛАКСО ВЭЛЛКОМ С.А. | ГЛАКСО ВЭЛЛКОМ С.А.,,rx,Фликсотид,,флутиказон,rx,,qwen_enrichment,qwen_enrichment,0.95,"Препарат Фликсотид является известным торговым названием флутиказона пропионата, который относится к ингаляционным глюкокортикостероидам. Все препараты этой терапевтической группы в России отпускаются строго по рецепту.",,drug,,enriched,prompt_enrichment_v1
3216,drug,"ФЛАМАДЕКС ГЕЛЬ Д/НАРУЖН. ПРИМ. 2,5% ТУБА 50Г | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО",,rx,Фламадекс,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"В предоставленном тексте отсутствует информация о действующем веществе, поэтому МНН определить невозможно. Хотя препарат относится к группе НПВС, без указания состава нельзя точно подтвердить его рецептурный статус.",,drug,,enriched,prompt_enrichment_v1
3296,vitamin_or_baa,ФИТОМУЦИЛ НОРМ ПЛЮС ПОР. ПАКЕТ ПО 6Г №10 | ADM PROTEXIN/БИОВИД | ADM PROTEXIN/БИОВИД,,,Фитомуцил Норм Плюс,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.5,"В предоставленном тексте не указано конкретное действующее вещество или состав продукта, хотя название «Фитомуцил» обычно ассоциируется с псиллиумом. Без явного упоминания компонента в нормализованном тексте невозможно точно определить mnn и тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
3478,vitamin_or_baa,ФИМИЦИЛ ПСИЛЛИУМ+СЛИВА ПОР Д/ПРИЕМА ВНУТРЬ ПАКЕТ-САШЕ 5Г №12 | ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,Комплекс,,ФИМИЦИЛ,комбинированный,Псиллиум,не применимо,multicomponent,qwen_enrichment,qwen_enrichment,0.9,"Продукт содержит псиллиум и сливу, что делает его многокомпонентным комплексом. Псиллиум является ключевым нутриентом, указанным в списке допустимых значений.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
3939,drug,УРОНОРМИН-Ф ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 3Г ПАК. 8Г №2 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,rx,Уронормин-Ф,,,unknown,,qwen_enrichment,qwen_enrichment,0.3,"Точное действующее вещество (МНН) не указано в тексте и не может быть однозначно определено по торговому названию «Уронормин-Ф», так как оно может содержать разные комбинации компонентов (например, урологические антисептики или растительные экстракты). Статус рецептурности также неясен без знания состава, поэтому присвоен статус «unknown».",,drug,,enriched,prompt_enrichment_v1
3967,vitamin_or_baa,УРИНАЛ ПРОТЕКТ КАПС. ПО 770МГ №60 | НОВЕНТИС С.Р.О. | НОВЕНТИС С.Р.О.,,,Уринал Протект,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В предоставленном тексте и атрибутах не указан состав продукта, поэтому невозможно определить ключевой нутриент или его комбинированность. Название «Уринал Протект» указывает на назначение для мочевыводящей системы, но без данных о компонентах классификация невозможна.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
4254,vitamin_or_baa,ТУРАМИН ХРОМ КАПС. №90 | ВИС ООО | ВИС ООО,Хром,,Турамин Хром,,Хром,не применимо,monocomponent,qwen_enrichment,qwen_enrichment,0.95,Название продукта «Турамин Хром» и семантическое объяснение прямо указывают на наличие хрома как ключевого действующего вещества. Отсутствие упоминания других компонентов в описании позволяет классифицировать продукт как монокомпонентный.,,vitamin_or_baa,,enriched,prompt_enrichment_v1
4270,vitamin_or_baa,"ТУКСИРИЛ ЛЕДЕНЦЫ РАСТИТЕЛЬНЫЕ СО ВКУСОМ АНАНАСА ПО 2,5Г №30 | SYDLER REMEDIES PVT. LTD. | SYDLER REMEDIES PVT. LTD.",,,Туксирил,,,не применимо,unknown,qwen_enrichment,qwen_enrichment,0.95,"В названии и описании товара не указаны конкретные действующие вещества или витамины, только форма выпуска (леденцы) и вкус. Без информации о составе невозможно определить ключевой нутриент или тип комбинации.",,vitamin_or_baa,,enriched,prompt_enrichment_v1
