product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,current_age,current_age_method,current_age_stage,current_age_source,sem_age,previous_enrichment_age,identity_enrichment_age,manual_expected_age_hint,manual_expected_age_hint_strength,historical_not_applicable_without_m2_gate,age_replay_value,age_replay_decision,age_replay_reason,age_replay_evidence_status,age_replay_identity_status,age_replay_conflict_status,age_replay_queue_action,label_age_contract_replay,label_age_contract_replay_notes
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,Тадалафил,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",Эхинацеи пурпурной трава,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,,взрослые,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эторикоксиб,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,Левокарнитин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эсциталопрам,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",Аморолфин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=B, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,B,no_conflict,send_to_age_contract_review,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",Тимьяна ползучего трава,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,,универсальный,,взрослые,explicit_label_note,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,D,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,Метаболиты бактерий,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,универсальный,универсальный,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_explicit, identity=B, evidence_grade=B). Downgrade display to unknown. Hint is not used as truth.",product_specific_explicit,B,no_conflict,send_to_age_contract_review,,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,взрослые,универсальный,,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,unknown,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Флуоксетин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,skip_catalog,resolved_catalog,unknown,not_resolved,none,none,,,,универсальный,explicit_label_note,false,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,no_saved_evidence,unknown,unknown,require_product_specific_evidence,,
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,Ибупрофен,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,универсальный,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,Амбазон,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Рабепразол,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,взрослые,explicit_label_note,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,B,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
4403,ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,Триметазидин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,универсальный,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Толперизон,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,взрослые,,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,универсальный,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,Тербинафин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,универсальный,взрослые,explicit_label_note,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,"ГЛЮКОЗАМИН, Хондроитина сульфат натрия",new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
5258,"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО",Тамсулозин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,взрослые,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,C,no_conflict,send_to_age_contract_review,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,взрослые,взрослые,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Осельтамивир,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,взрослые,,универсальный,,not_available,false,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict,C,baseline_vs_enrichment_conflict,send_to_age_contract_review,,
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацетилсалициловая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,mnn_identity_enrichment,mnn_identity_enrichment_pass_results,,,универсальный,взрослые,explicit_label_note,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=D, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",product_specific_but_no_explicit_age,D,no_conflict,send_to_age_contract_review,,
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,Инсулин человеческий,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,,универсальный,,,not_available,false,unknown,downgrade_unsupported_to_unknown,"current=универсальный via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",no_saved_evidence,unknown,no_conflict,send_to_age_contract_review,,
