product_id,normalized_text,product_kind,pass_action,identity_gate_status,final_mnn_method_before,final_candidate_mnn_before,input_explicit_mnn,input_explicit_mnn_confidence,input_explicit_strength,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,needs_human_review_before,reason
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Эхинацеи пурпурной трава,,none,none,,Эхинацеи пурпурной трава,ok,false,identity_gate_already_used_enrichment
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,drug,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,Эналаприл,Эналаприл,high,strong,,,,false,strong_input_explicit_accepted
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
1217,"ЭВКАЛИПТА ПРУТОВИДНОГО ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Эвкалипта прутовидного листья,,none,none,,Эвкалипта прутовидного листья,ok,false,identity_gate_already_used_enrichment
1638,ЧЕРЕДЫ ТРАВА 50Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Череды трехраздельной трава,,none,none,,Череды трехраздельной трава,ok,false,identity_gate_already_used_enrichment
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Тимьяна ползучего трава,,none,none,,Тимьяна ползучего трава,ok,false,identity_gate_already_used_enrichment
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok_partial,true,single_source
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Нитрофурал,,none,none,,Нитрофурал,ok,false,identity_gate_already_used_enrichment
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,drug,skip_catalog,resolved_catalog,catalog_consensus,Флуконазол,,none,none,Флуконазол,,,false,catalog_consensus_retained
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
4403,ТРИМЕТАЗИДИН-АКОС МВ 35МГ ТАБЛ. МОДИФ. ВЫСВ. П/О №60 | БИОКОМ ЗАО | БИОКОМ ЗАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
4570,ТОРАСЕМИД ТАБЛ. 5МГ №60 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Торасемид,Торасемид,high,strong,,Торасемид,ok,false,identity_gate_already_used_enrichment
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,Торасемид,Торасемид,high,strong,,,,false,strong_input_explicit_accepted
4602,ТОРАСЕМИД МЕДИСОРБ ТАБЛ. 5МГ №20 | Медисорб АО | Медисорб АО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Торасемид,Торасемид,high,strong,,Торасемид,ok,false,identity_gate_already_used_enrichment
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,Толперизон,Толперизон,high,strong,,,,false,strong_input_explicit_accepted
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
5258,"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Тамоксифен,Тамоксифен,high,strong,,Тамоксифен,ok,false,identity_gate_already_used_enrichment
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
5287,"ТАДАЛАФИЛ-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 20МГ №8 | ТЕВА ФАРМА, С.Л.У. | ТЕВА ФАРМА, С.Л.У.",drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Тадалафил,,none,none,,Тадалафил,ok,false,identity_gate_already_used_enrichment
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
5634,СТРЕПТОЦИД ПОР. Д/НАРУЖ. ПРИМ. 2Г ПАК. №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
5729,СТОМАТОФИТ ФРЕШ ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА ФЛ. 250МЛ | Фитофарм кленка АО | Фитофарм кленка АО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",,none,none,,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",ok,false,identity_gate_already_used_enrichment
5736,СТИМУЛОТОН ТАБЛ. П/ПЛЕН/ОБ. 100МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
6506,СИРОП ШИПОВНИКА ФЛ. 250МЛ МИРРОЛЛА | МИРРОЛЛА ООО | МИРРОЛЛА ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok_partial,true,empty
6592,СИНЕКОД КАПЛИ Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 5МГ/МЛ ФЛ. 20МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
6593,СИНДРАНОЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 8МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А. | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А.,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Ропинирол,,none,none,,Ропинирол,ok,false,identity_gate_already_used_enrichment
6743,СИЛДЕНАФИЛ ТАБЛ. П/ПЛЕН/ОБ. 100МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Инсулин человеческий,,none,none,,Инсулин человеческий,ok,false,identity_gate_already_used_enrichment
7651,РОМАШКИ АПТЕЧНОЙ ЦВЕТКИ 50Г ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Ромашки аптечной цветки,,none,none,,Ромашки аптечной цветки,ok,false,identity_gate_already_used_enrichment
7803,РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,drug,skip_strong_input_mnn,resolved_input_explicit,input_explicit_mnn,Розувастатин,Розувастатин,high,strong,,,,false,strong_input_explicit_accepted
7807,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Розувастатин,Розувастатин,high,strong,,Розувастатин,ok,false,identity_gate_already_used_enrichment
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Розувастатин,Розувастатин,high,strong,,Розувастатин,ok,false,identity_gate_already_used_enrichment
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Розувастатин,Розувастатин,high,strong,,Розувастатин,ok,false,identity_gate_already_used_enrichment
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,"Бримонидин, Тимолол",,none,none,,"Бримонидин, Тимолол",ok,false,identity_gate_already_used_enrichment
8201,РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
8374,РЕДЕЦИЛ МАЗЬ Д/НАРУЖ. ПРИМ. ТУБА 35Г | РЕТИНОИДЫ АО | РЕТИНОИДЫ АО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
8414,РЕБАМИПИД ТАБЛ. П/ПЛЕН/ОБ. 100МГ №90 | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
8566,РАБИЕТ КАПС. КИШ/РАСТ. 20МГ №14 АЛИУМ | АЛИУМ АО | АЛИУМ АО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Рабепразол,,none,none,,Рабепразол,ok,false,identity_gate_already_used_enrichment
8753,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok_partial,true,empty
8788,ПРОПИЦИЛ ТАБЛ. 50МГ №20 | ХАУПТ ФАРМА МЮНСТЕР ГМБХ | ХАУПТ ФАРМА МЮНСТЕР ГМБХ,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
9096,"ПРЕДНИЗОЛОН МАЗЬ Д/НАРУЖ. ПРИМ. 0,5% ТУБА 15Г БИОСИНТЕЗ | БИОСИНТЕЗ ПАО | БИОСИНТЕЗ ПАО",drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Преднизолон,Преднизолон,high,strong,,Преднизолон,ok,false,identity_gate_already_used_enrichment
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok,true,empty
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Полыни горькой трава,,none,none,,Полыни горькой трава,ok,false,identity_gate_already_used_enrichment
9306,ПОЛИФЕПАН ПОР. Д/ПРИЕМА ВНУТРЬ ПАК. 10Г №10 | ВОСТОК ООО | ВОСТОК ООО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Лигнин гидролизный,,none,none,,Лигнин гидролизный,ok,false,identity_gate_already_used_enrichment
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,"Пиона уклоняющегося травы, корневищ и корней настойка",,none,none,,"Пиона уклоняющегося травы, корневищ и корней настойка",ok,false,identity_gate_already_used_enrichment
9539,"ПИКОДИНАР КАПЛИ Д/ПРИЕМА ВНУТРЬ 7,5МГ/МЛ ФЛ. 15МЛ | ГРОТЕКС ООО | ГРОТЕКС ООО",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,ok_partial,true,empty
9993,ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Парацетамол,Парацетамол,high,strong,,Парацетамол,ok,false,identity_gate_already_used_enrichment
9996,ПАРАЦЕТАМОЛ СУСП. Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 120МГ/5МЛ ФЛ. 100МЛ СИНТЕЗ | СИНТЕЗ | СИНТЕЗ,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Парацетамол,Парацетамол,high,strong,,Парацетамол,ok,false,identity_gate_already_used_enrichment
10005,ПАРАЦЕТАМОЛ РЕНЕВАЛ ТАБЛ. 500МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Парацетамол,Парацетамол,high,strong,,Парацетамол,ok,false,identity_gate_already_used_enrichment
10009,ПАРАЦЕТАМОЛ ДЕТСКИЙ СУСП. Д/ПРИЕМА ВНУТРЬ МАЛИНА 120МГ/5МЛ ФЛ. 100Г ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,drug,reuse_existing_enrichment,resolved_enrichment,input_plus_enrichment,Парацетамол,Парацетамол,high,strong,,Парацетамол,ok,false,identity_gate_already_used_enrichment
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,single_source
10097,ПАНТОКАЛЬЦИН ТАБЛ. 500МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,drug,reuse_existing_enrichment,resolved_enrichment,enrichment,Гопантеновая кислота,,none,none,,Гопантеновая кислота,ok,false,identity_gate_already_used_enrichment
10121,ПАНТЕНОЛ-ТЕВА МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 35Г | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
10283,"ОТРИВИН КОМПЛЕКС СПРЕЙ НАЗ. 0,6МГ/МЛ + 0,5МГ/МЛ (84МКГ/ДОЗА+70МКГ/ДОЗА) ФЛ. 10МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.",drug,new_enrichment,unresolved_catalog,unresolved,,,none,none,,,,true,empty
