product_id,normalized_text,final_candidate_mnn,pass_action,identity_gate_status,current_age,current_age_method,sem_age,previous_enrichment_age,identity_enrichment_age,age_replay_value,age_replay_decision,age_replay_reason,pilot_stratum,label_age_pilot,label_age_pilot_notes,manual_age_min_years,manual_age_min_years_source,manual_age_population_scope,manual_age_segment_reconciled,manual_age_segment_decision,manual_age_reconciliation_status,manual_age_reconciliation_reason,manual_age_threshold_confidence,manual_age_needs_threshold_review,label_age_min_years_manual,label_age_population_scope_manual,label_age_segment_manual,label_age_threshold_notes,reviewed_age_min_years,reviewed_age_min_years_source,reviewed_age_population_scope,reviewed_age_segment,reviewed_age_decision,reviewed_age_reconciliation_status,reviewed_age_reconciliation_reason,reviewed_age_threshold_confidence,reviewed_age_needs_manual_reconciliation,reviewed_age_source
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,skip_catalog,resolved_catalog,unknown,not_resolved,,,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_adults,Взрослый с 16 лет,16,explicit_reviewer_note,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 16 in reviewer note. 16+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,,,,,16,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,"No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 16 in reviewer note. 16+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,m4_2_deterministic
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,new_enrichment,unresolved_catalog,взрослые,identity_enrichment,взрослые,,взрослые,unknown,downgrade_unsupported_to_unknown,"current=взрослые via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей с 3 лет,3,explicit_reviewer_note,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 3 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,,,,,3,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 3 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,m4_2_deterministic
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,,,универсальный,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_universal,Подтверждено применение у детей с 1 года,1,explicit_reviewer_note,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 1 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,,,,,1,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 1 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,m4_2_deterministic
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,взрослые,,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Тербинафин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,,,универсальный,unknown,downgrade_unsupported_to_unknown,"current=универсальный via identity_enrichment lacks product-specific explicit Age evidence (evidence_status=product_specific_but_no_explicit_age, identity=C, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Осельтамивир,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,0,children_and_adults,универсальный,Применение у детей с рождения и у взрослых.,0,manual_followup,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,resolved_from_explicit_threshold,Manual min=0 with children_and_adults → универсальный. 12/14/15/16 + child+adult scope is not взрослые. Threshold is kept as labelled; not remapped to another year.,high,false,manual_followup
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 18 лет,18,explicit_reviewer_note,adults_only,взрослые,adult_only_confirmed,resolved_from_explicit_threshold,Explicit min age 18 in reviewer note. Adult-only segment.,high,false,,,,,18,m4_2_explicit_reviewer_note,adults_only,взрослые,reviewed_adult_only,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 18 in reviewer note. Adult-only segment.,high,false,m4_2_deterministic
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,reuse_existing_enrichment,resolved_enrichment,универсальный,previous_enrichment,взрослые,универсальный,,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=универсальный identity=empty. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,,,,,12,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,"No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,m4_2_deterministic
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Пиона уклоняющегося травы, корневищ и корней настойка",reuse_existing_enrichment,resolved_enrichment,взрослые,previous_enrichment,взрослые,взрослые,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via previous_enrichment lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_adults,Взрослый с 12 лет,12,explicit_reviewer_note,children_and_adults,универсальный,adolescent_plus_adult,resolved_from_explicit_threshold,"Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,,,,,12,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,"No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 12 in reviewer note. 12+ with adult use is универсальный, not взрослые. Exact lower limit is carried by manual_age_min_years.",high,false,m4_2_deterministic
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,new_enrichment,unresolved_catalog,unknown,not_resolved,,универсальный,,unknown,retain_safe_unknown,current Age is unknown and no product-specific explicit Age evidence is stored. unknown is a valid safe outcome.,unknown_or_insufficient,should_be_universal,Подтверждено применение у детей с 6 лет,6,explicit_reviewer_note,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 6 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,,,,,6,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 6 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,m4_2_deterministic
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,10,children_and_adults,универсальный,Применение у детей с 10 лет и у взрослых.,10,manual_followup,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,resolved_from_explicit_threshold,Manual min=10 with children_and_adults → универсальный. 12/14/15/16 + child+adult scope is not взрослые. Threshold is kept as labelled; not remapped to another year.,high,false,manual_followup
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,skip_strong_input_mnn,resolved_input_explicit,взрослые,sem_baseline,взрослые,,,unknown,downgrade_unsupported_to_unknown,"current=взрослые via sem_baseline lacks product-specific explicit Age evidence (evidence_status=no_saved_evidence, identity=unknown, evidence_grade=none). Downgrade display to unknown. Hint is not used as truth.",downgrade_unsupported_to_unknown,should_be_universal,Подтверждено применение у детей с 2 лет,2,explicit_reviewer_note,children_and_adults,универсальный,children_plus_adult,resolved_from_explicit_threshold,Explicit min age 2 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,,,,,2,m4_2_explicit_reviewer_note,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,preserved_m4_2_deterministic,No follow-up requirement. Preserved M4.2 deterministic reconciliation. Explicit min age 2 in reviewer note. Child threshold with adult use not excluded → универсальный.,high,false,m4_2_deterministic
11142,НУРОФАСТ ТАБЛ. П/ПЛЕН/ОБ. 200МГ №20 | АЛИУМ АО | АЛИУМ АО,Ибупрофен,new_enrichment,unresolved_catalog,универсальный,identity_enrichment,взрослые,,универсальный,conflict,conflict_requires_evidence,unresolved comparable-source conflict (baseline_vs_enrichment_conflict); sem=взрослые prev=empty identity=универсальный. Neither value is historical not_applicable. No source winner. Display=conflict.,conflict_requires_evidence,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,medium,true,6,children_and_adults,универсальный,Применение у детей с 6 лет и у взрослых.,6,manual_followup,children_and_adults,универсальный,reviewed_child_or_adolescent_plus_adult,resolved_from_explicit_threshold,Manual min=6 with children_and_adults → универсальный. 12/14/15/16 + child+adult scope is not взрослые. Threshold is kept as labelled; not remapped to another year.,high,false,manual_followup
