product_id,normalized_text,current_age,current_age_method,manual_expected_age_hint,manual_expected_age_hint_strength,age_error_bucket,age_source_type_guess,age_source_tier_guess,age_identity_grade_guess,age_evidence_grade_guess,age_conflict_status,proposed_age_decision,proposed_age_value,proposed_age_acceptance_tier,proposed_age_queue_action,proposed_age_reason,evidence_urls,label_age,label_notes,label_age_contract,label_age_contract_notes
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,универсальный,identity_enrichment,взрослые,explicit_label_note,overbroad_universal_without_evidence,official_instruction_product_specific,P1,D,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_universal_without_evidence; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",http://drugs.thead.ru/SANOVASK | https://avexima.ru/upload/iblock/5f4/o5oavm0mg1b7f5j7f1mqrnipexcx4gc0.pdf | https://grls.rosminzdrav.ru/ | https://medvisor.ru/medicine/drug/sanovask_39420/ | https://www.lsgeotar.ru/drugs/sanovasc-ADcV | https://www.lsgeotar.ru/drugs/sanovasc-AEUn | https://www.rlsnet.ru/drugs/sanovask-75403 | https://www.vidal.ru/drugs/sanovasc | https://www.webapteka.ru/drugbase/name53516.html,incorrect,"препарат otc, возрастной сегмент - взрослый",,
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,универсальный,previous_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,взрослые,sem_baseline,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный,,
13616,"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",взрослые,previous_enrichment,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный. MNN необходим на кирилице,,
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,unknown,not_resolved,взрослые,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=взрослые/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
16623,КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,универсальный,identity_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,rls_or_vidal_product_card,P2,C,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",http://drugs.thead.ru/Kofein-Benzoat_Natriya | https://allmed.pro/ru/drugs/kofein-benzoat-natrija | https://aptekamos.ru/tovary/lekarstva/kofein-459/kofein-benzoat-natriya-rastvor-dlya-inekciyo-20-1ml-4682/instrukciya | https://aptekamos.ru/tovary/lekarstva/kofein-459/kofein-benzoat-natriya-tabletki-100mg-4685/instrukciya | https://www.rlsnet.ru/drugs/kofein-benzoat-natriya-4430 | https://www.vidal.ru/drugs/coffein-benzoate_sodium__5094 | https://www.webapteka.ru/drugbase/name3346.html,incorrect,возрастной сегмент - взрослый,,
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,универсальный,previous_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,unknown,not_resolved,взрослые,explicit_label_note,unknown_should_be_resolved,rls_or_vidal_product_card,P2,B,none,no_conflict,require_manual_review,null,not_accepted_audit_only,identity_gate_review,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=взрослые/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",https://allmed.pro/ru/drugs/zveroboja-trava | https://health.mail.ru/drug/zveroboya-trava-1/ | https://health.mail.ru/drug/zveroboya-trava/ | https://medi.ru/instrukciya/zveroboya-trava_19776/ | https://pharmproduct.ru/drugs/zveroboia-trava | https://www.lsgeotar.ru/cs/zveroboya-trava-12211.html | https://www.lsgeotar.ru/drugs/st-johns-wort-herb-BBOD | https://www.pharmcontrol.ru/reference/inn/400/ | https://www.pharmcontrol.ru/registry/drugs/16633/ | https://www.rlsnet.ru/drugs/zveroboya-trava-4291 | https://www.vidal.ru/drugs/hyperici_herba__28959 | https://www.vidal.ru/drugs/hyperici_herba__30245,incorrect,"Drug (Трава зверобоя), ОТС, Взрослый",,
20122,ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,взрослые,sem_baseline,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",unknown,not_resolved,универсальный,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=универсальный/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный,,
21010,ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,unknown,not_resolved,универсальный,explicit_label_note,unknown_should_be_resolved,unknown,,unknown,none,unknown,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=unknown_should_be_resolved; current_age=unknown (not accepted); hint=универсальный/explicit_label_note; conflict=unknown; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный,,
24750,АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ ТАБЛ. 500МГ+25МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,взрослые,previous_enrichment,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - универсальный,,
25982,АМЛОДИПИН ТАБЛ. 10МГ №30 РОЗЛЕКС | РОЗЛЕКС ФАРМ ООО | РОЗЛЕКС ФАРМ ООО,универсальный,previous_enrichment,взрослые,explicit_label_note,source_conflict_not_escalated,unknown,,unknown,none,baseline_vs_enrichment_conflict,require_manual_review,null,not_accepted_audit_only,escalate_source_conflict,"bucket=source_conflict_not_escalated; current_age=универсальный (not accepted); hint=взрослые/explicit_label_note; conflict=baseline_vs_enrichment_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,возрастной сегмент - взрослый,,
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,взрослые,sem_baseline,универсальный,explicit_label_note,overbroad_adult_without_evidence,unknown,,unknown,none,no_conflict,require_product_specific_evidence,null,not_accepted_audit_only,require_product_specific_age_evidence,"bucket=overbroad_adult_without_evidence; current_age=взрослые (not accepted); hint=универсальный/explicit_label_note; conflict=no_conflict; evidence_grade=none. Reviewer-note hint is heuristic only, not canonical ground truth; no medical inference applied.",,incorrect,"препарат otc, возрастной сегмент - универсальный",,
