product_id,run_id,normalized_text,medical_device_profile,product_family,product_kind,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
2351,318,ХИГИЕНИКА ПЛЮС СРЕДСТВО ПЕДИКУЛИЦИДНОЕ ФЛ. 60МЛ | ВЕТПРОМ АД | ВЕТПРОМ АД,clinical_like,Другое медизделие,medical_device,0.6,"Товар классифицирован как медицинское изделие (клинико-подобный профиль), поэтому поля mnn, rx_otc, nosology и combination_hint неприменимы. На основе названия извлечён бренд «ХИГИЕНИКА ПЛЮС», а также форма выпуска и путь введения как наружный раствор.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ХИГИЕНИКА ПЛЮС,,,,,,наружно,,раствор для наружного применения,,,,,,флакон 60 мл,,,
2398,318,ХВОЙНЫЙ ЭКСТРАКТ ЗОЛОТО ЛЕСА БРИКЕТ 50Г №2 | ТИХВИНСКИЙ ЛЕСОХИМИЧЕСКИЙ ЗАВОД | ТИХВИНСКИЙ ЛЕСОХИМИЧЕСКИЙ ЗАВОД,,,vitamin_or_baa,0.8,"Товар является БАД (хвойный экстракт). На основе атрибутного профиля заполнены применимые поля: бренд, способ применения, лекарственная форма, упаковка. Поле mnn и дозировка не определены, rx_otc не применим.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Золото леса,,,,нутрицевтики,,Внутрь,,Брикет,,,,,,2 брикета по 50 г,,,
2811,318,ФОСФОГЛИВ КАПС. №96 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,ЖКТ,drug,0.9,"Товар является лекарственным препаратом (drug) для лечения заболеваний печени. Идентифицированы торговое наименование, МНН как комбинация действующих веществ, форма выпуска и упаковка. Дозировка не указана в тексте.",True,,pending_fallback,direction_select,,semantic_primary,success,Фосфатидилхолин+Глицирризиновая кислота,,Фосфоглив,,otc,,"Заболевания печени, гепатопротекция",,внутрь,,капсулы,,,,взрослые,,№96 (96 капсул),,true,
2930,318,"ФОРМИСОНИД ПОР. Д/ИНГ. ДОЗИР. 160МКГ+4,5МКГ/ДОЗА №60 С ИНГАЛЯТОРОМ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",,Кашель,drug,0.85,"Товар является лекарственным препаратом (drug). На основании состава (160+4,5 мкг/доза) и лекарственной формы (порошок для ингаляций) определены МНН, бренд, способ применения, дозировка и упаковка. Возрастной сегмент не указан, поэтому оставлен пустым.",True,,pending_fallback,direction_select,,semantic_primary,success,Будесонид+Формотерол,,Формисонид,,rx,,"Бронхиальная астма, ХОБЛ",,Ингаляционно,,Порошок для ингаляций дозированный,,"160 мкг+4,5 мкг/доза",,,,№60 с ингалятором,,комбинированный (Будесонид+Формотерол),
3763,318,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,,Нервная система,drug,0.6,"Продукт является лекарственным средством (фитотерапия) в форме настойки. Название указывает на успокоительное действие и многокомпонентный состав (5 трав), поэтому МНН не применяется, а показание можно отнести к седативным средствам. Дозировка не указана, возрастной сегмент не определён.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,otc,,Успокаивающее средство,,Внутрь,,Настойка,,,,,,флакон 250 мл,,многокомпонентное,
4552,318,ТОРВАКАРД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 | САНЕКА ФАРМАСЬЮТИКАЛС А.С. | САНЕКА ФАРМАСЬЮТИКАЛС А.С.,,Сердце и сосуды,drug,0.9,Товар является лекарственным препаратом (аторвастатин) для снижения холестерина. Все атрибуты определены на основе названия и формы выпуска.,True,,pending_fallback,direction_select,,semantic_primary,success,Аторвастатин,,Торвакард,,rx,,Гиперлипидемия,,Перорально,,"Таблетки, покрытые плёночной оболочкой",,20 мг,,Взрослые,,90 таблеток в упаковке,,,
4719,318,ТОКСИКОДЕНДРОН КВЕРЦИФОЛИУМ (РУС ТОКСИКОДЕНДРОН) С30 ГРАН. ГОМЕОП. 5Г | ДОКТОР Н ООО | ДОКТОР Н ООО,,Гомеопатия,drug,0.7,"Препарат является гомеопатическим лекарственным средством (product_kind=drug). Все атрибуты применимы, но часть из них извлечена из названия: MNN — действующее вещество, дозировка — гомеопатическое разведение C30, лекарственная форма — гранулы. Бренд указан как производитель. Нозология не указана, поэтому оставлена пустой.",True,,pending_fallback,direction_select,,semantic_primary,success,Токсикодендрон кверцифолиум,,Доктор Н,,безрецептурный,,,,перорально,,гранулы,,C30,,,,5 г,,монопрепарат,
4782,318,ТИМОГЕН Р-Р ДЛЯ В/М ВВЕД. 100МКГ/МЛ АМП. 1МЛ №5 | ЦИТОМЕД МБНПК | ЦИТОМЕД МБНПК,,Инъекции,drug,0.85,"Товар является лекарственным препаратом (Тимоген, раствор для внутримышечного введения, 100 мкг/мл). На основании формы выпуска и активного вещества извлечены атрибуты: МНН — Тимоген, бренд — Тимоген, рецептурный отпуск, способ введения внутримышечно, лекарственная форма раствор для инъекций, дозировка 100 мкг/мл, упаковка 5 ампул. Нозология предположительно иммунодефицитные состояния.",True,,pending_fallback,direction_select,,semantic_primary,success,Тимоген,,Тимоген,,rx,,Иммунодефицитные состояния,,Внутримышечно,,Раствор для внутримышечного введения,,100 мкг/мл,,,,5 ампул по 1 мл,,,
4924,318,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,,кожные заболевания,drug,0.95,Товар является лекарственным средством (дерматологический крем) с МНН Тербинафин. Все атрибуты извлечены на основе названия и формы выпуска.,True,,pending_fallback,direction_select,,semantic_primary,success,Тербинафин,,Термикон,,otc,,Грибковые инфекции кожи,,Наружное,,Крем,,1%,,,,Туба 15 г,,,
4998,318,"ТЕРАФЛЮ ОТ ГРИППА И ПРОСТУДЫ ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ ЛИМОН ПАК. 22,1Г №10 | ГКС КОНСЬЮМЕР ХЕЛС ИНК./ФАМАР ОРЛЕАН | ГКС КОНСЬЮМЕР ХЕЛС ИНК./ФАМАР ОРЛЕАН",,простуда и ОРВИ,drug,0.8,"Препарат Терафлю, ОТС, для приема внутрь при простуде и гриппе. Лекарственная форма - порошок для раствора. Дозировка активных веществ не указана.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Терафлю,,otc,,простуда и ОРВИ,,внутрь,,порошок для раствора для приема внутрь,,,,,,10 пакетиков,,комбинированный,
5212,319,ТАУРИН 1000 ТАБЛ. П/О ПО 1545МГ №30 | КВАДРАТ-С ООО | КВАДРАТ-С ООО,,,vitamin_or_baa,0.8,"Товар относится к БАД (витамины/БАД). Таурин - действующее вещество, форма выпуска - таблетки, дозировка 1545 мг, для взрослых. Поле rx_otc не применимо для БАД.",True,,pending_fallback,direction_select,,semantic_primary,success,Таурин,,Таурин 1000,,,,нутрицевтики,,перорально,,таблетки покрытые пленочной оболочкой,,1545 мг,,взрослые,,30 таблеток в упаковке,,,
5597,319,"СТЭЛМАС КИСЛОРОД ВОДА ПИТЬЕВАЯ НЕГАЗ. 0,6Л ПЭТ | ВОДЫ ЗДОРОВЬЯ ООО | ВОДЫ ЗДОРОВЬЯ ООО",,,other,0.85,"Товар относится к категории «другое» (питьевая вода с кислородом), поэтому фармацевтические атрибуты (МНН, ЛП/БАД, нозология, путь введения, ЛФ, дозировка, признак комбинации) неприменимы. Бренд и подсказка по упаковке извлечены из названия.",True,,pending_fallback,direction_select,,semantic_primary,success,,,СТЭЛМАС,,,,,,,,,,,,,,"0,6 л ПЭТ",,,
6117,319,СОЛЬ ДРЕВНЕГО МОРЯ ДЛЯ ВАНН МОРСКАЯ П/ЭТ. 1КГ | ПИК-Н.Н.-ФАРМАСЬЮТИКС ООО | ПИК-Н.Н.-ФАРМАСЬЮТИКС ООО,,,cosmetic_hygiene,0.9,"Товар относится к косметике и гигиене (соль для ванн). Для этого типа товаров извлекаются только бренд, возрастной сегмент и упаковка; остальные фармацевтические атрибуты неприменимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Соль Древнего Моря,,,,,,,,,,,,,,1 кг,,,
6168,319,СОЛНЦЕ И ЛУНА ECO ДИСКИ ВАТНЫЕ ХЛОПКОВЫЕ ОВАЛЬНЫЕ №40 | КОТТОН КЛАБ-ГИГИЕНА ООО | КОТТОН КЛАБ-ГИГИЕНА ООО,,Гигиена и косметика,cosmetic_hygiene,0.9,"Товар относится к категории косметических средств гигиены (cosmetic_hygiene). Согласно профилю атрибутов, применимы только бренд и упаковка; все фармацевтические атрибуты не применимы, поэтому установлены в null.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Солнце и Луна,,,,,,,,,,,,,,40 шт,,,
6633,319,СИМИЛАК КЛАССИК 1 СМЕСЬ СУХАЯ 300Г 0-6МЕС | Arla foods amba arinco | Arla foods amba arinco,,,other,0.9,"Товар является детской смесью (другое), поэтому заполнены только brand, age_segment и package_hint, остальные атрибуты неприменимы согласно профилю.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Симилак,,,,,,,,,,,,0-6 месяцев,,"сухая смесь, 300 г",,,
7080,319,СЕЛМЕВИТ ТАБЛ. П/О №60 | ФАРМСТАНДАРТ-УФАВИТА ОАО | ФАРМСТАНДАРТ-УФАВИТА ОАО,,витаминный комплекс,vitamin_or_baa,0.95,"Товар является витаминным комплексом (БАД/витамин). Атрибуты заполнены: МНН 'Комплекс', бренд 'Селмевит', форма выпуска таблетки, покрытые оболочкой, упаковка 60 таблеток. Рецептурность не применима для данной категории.",True,,pending_fallback,direction_select,,semantic_primary,success,Комплекс,,Селмевит,,,,комплексные профили,,внутрь,,"таблетки, покрытые оболочкой",,,,взрослые,,60 таблеток,,комбинированный,
8248,319,РЕМО-ВАКС СРЕДСТВО ДЛЯ УХОДА ЗА УШНОЙ РАКОВИНОЙ ФЛ-КАП. 10МЛ ОРИОН | ОРИОН КОРПОРЕЙШН | ОРИОН КОРПОРЕЙШН,,,cosmetic_hygiene,0.8,"Товар относится к категории косметика/гигиена (cosmetic_hygiene). Поэтому заполнены только атрибуты brand, age_segment и package_hint. Остальные фармацевтические атрибуты не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ОРИОН,,,,,,,,,,,,,,флакон-капельница,,,
9186,319,ПОМОРИН ПАСТА ЗУБНАЯ АНТИПАРОДОНТОЗ 100МЛ | РУБЕЛЛА БЬЮТИ АД/ДАНСОН БГ ЕООД | РУБЕЛЛА БЬЮТИ АД/ДАНСОН БГ ЕООД,,,cosmetic_hygiene,0.95,"Товар относится к категории косметика/гигиена (cosmetic_hygiene). Согласно профилю атрибутов, из фармацевтических полей применимы только бренд и подсказка по упаковке, остальные неактуальны. Бренд определён как «Поморин» из названия, объём упаковки указан как 100 мл.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Поморин,,,,,,,,,,,,,,100 мл,,,
9249,319,ПОМА ПОИЛЬНИК РР С РУЧКАМИ 180МЛ 6МЕС+ АРТ.1714 | ТАЙЧЖОУ ХЭППИ ЭНД МЭРРИ БИЗНЕС ЛТД | ТАЙЧЖОУ ХЭППИ ЭНД МЭРРИ БИЗНЕС ЛТД,hygiene_like,Товары для мам и детей,medical_device,0.7,"Товар является медицинским изделием типа гигиеническое (поильник), поэтому применимы только бренд, возрастная группа и подсказка упаковки. Бренд определён как 'ПОМА' из названия, возраст '6 месяцев+', объём 180 мл.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ПОМА,,,,,,,,,,,,6 месяцев+,,180 мл,,,
9307,319,ПОЛИСОРБ ПЛЮС ПОР. Д/СУСП. Д/ПРИЕМА ВНУТРЬ БАНКА 25Г | ПОЛИСОРБ АО | ПОЛИСОРБ АО,,ЖКТ,drug,0.8,"Товар является лекарственным препаратом. Из названия определены форма выпуска (порошок для суспензии), способ применения (внутрь) и упаковка (банка 25 г). МНН и другие атрибуты не указаны в исходных данных.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Полисорб Плюс,,,,,,внутрь,,порошок для суспензии,,,,,,банка 25 г,,,
9335,320,"ПОДОРОЖНИКА БОЛЬШОГО ЛИСТЬЯ Ф/П 1,5Г №20 ФИТО-БОТ | ФИТО-БОТ ФИРМА ООО | ФИТО-БОТ ФИРМА ООО",,Травы,drug,0.85,"Товар является лекарственным растительным средством (листья подорожника). Доступны все атрибуты, так как attr_profile указывает applicable. MNN – название сырья, бренд – ФИТО-БОТ, форма – фильтр-пакет, дозировка 1.5 г, применение внутрь при боли в горле, безрецептурный.",True,,pending_fallback,direction_select,,semantic_primary,success,Подорожника большого листья,,ФИТО-БОТ,,otc,,Боль в горле,,Внутрь,,Фильтр-пакет,,1.5 г,,Взрослые,,20 фильтр-пакетов,,,
9537,320,ПИКОЛИНАТ ХРОМА КАПЛИ ФЛ. 50МЛ | КУРОРТМЕДСЕРВИС | КУРОРТМЕДСЕРВИС,,,vitamin_or_baa,0.8,"Товар является биологически активной добавкой (БАД) на основе пиколината хрома. Поскольку это БАД, rx_otc не применим, дозировка не указана, возрастной сегмент не определён. Атрибуты заполнены на основе названия и типа продукта.",True,,pending_fallback,direction_select,,semantic_primary,success,Хрома пиколинат,,Курортмедсервис,,,,нутрицевтики,,перорально,,Капли,,,,,,флакон 50 мл,,,
9617,320,ПЕРЧАТКИ SFM ЛАТЕКС. ХИРУРГ. СТЕР. АНАТОМИЧ. НЕОПУДР. ТЕКСТУР. ВНУТР. ПОЛИМ. ПОКРЫТИЕ Р.7 ПАРА №50 | SFM HOSPITAL PRODUCTS GMBH | SFM HOSPITAL PRODUCTS GMBH,clinical_like,Другое медизделие,medical_device,0.95,"Товар является медицинским изделием (перчатки хирургические). В соответствии с профилем атрибутов, поля mnn, rx_otc, nosology, combination_hint не применимы. Извлечены бренд, путь введения, форма выпуска, дозировка (размер), упаковка.",True,,pending_fallback,direction_select,,semantic_primary,success,,,SFM,,,,,,наружное,,перчатки,,7,,,,50 пар,,,
9626,320,ПЕРЧАТКИ SFM HIGH RISK ЛАТЕКС. СМОТР. НЕСТЕР. НЕОПУДР. ТЕКСТУР. УДЛИН. МАНЖЕТА ОДНОКР. ХЛОРИНАЦИЯ Р.XL ПАРА №25 ТЕМНО-СИНИЕ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ,clinical_like,Другое медизделие,medical_device,0.95,"Товар является медицинским изделием (перчатки смотровые). Согласно профилю medical_device:clinical_like, атрибуты mnn, rx_otc, nosology, combination_hint не применимы и возвращены null. Извлечены бренд, способ применения, лекарственная форма, дозировка, возрастной сегмент и информация об упаковке.",True,,pending_fallback,direction_select,,semantic_primary,success,,,SFM,,,,,,наружное,,перчатки смотровые нестерильные,,XL,,взрослые,,25 пар,,,
9645,320,ПЕРЧАТКИ BENOVY НИТРИЛ. СМОТР. НЕСТЕР. НЕОПУДР. ТЕКСТУР. НА ПАЛЬЦАХ Р.М ПАРА №100 ГОЛУБЫЕ | ТГ МЕДИКАЛ СДН. БХД. | ТГ МЕДИКАЛ СДН. БХД.,clinical_like,Другое медизделие,medical_device,0.8,"Товар относится к медицинским изделиям (клинический профиль). Указаны бренд 'BENOVY', форма выпуска 'перчатки', путь введения 'наружно', дозировка 'M', упаковка '100 штук'. Поля MNN, рецептурность, нозология и комбинационный признак неприменимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,BENOVY,,,,,,наружно,,перчатки,,M,,,,100 штук,,,
9799,320,ПЕНТОКСИФИЛЛИН КОНЦ. Д/Р-РА Д/ИНФ. 20МГ/МЛ АМП. 5МЛ №10 ВЕЛФАРМ | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,,Кровь / Кровеносная система,drug,0.9,"Препарат является лекарственным средством (drug) с активным веществом пентоксифиллин. Все атрибуты применимы, извлечены из названия и подсказок.",True,,pending_fallback,direction_select,,semantic_primary,success,Пентоксифиллин,,Пентоксифиллин,,rx,,Нарушения микроциркуляции и периферического кровообращения,,инфузионно,,концентрат для приготовления раствора для инфузий,,20 мг/мл,,,,10 ампул по 5 мл,,,
10283,320,"ОТРИВИН КОМПЛЕКС СПРЕЙ НАЗ. 0,6МГ/МЛ + 0,5МГ/МЛ (84МКГ/ДОЗА+70МКГ/ДОЗА) ФЛ. 10МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.",,простуда и ОРВИ,drug,0.95,"Препарат является лекарственным средством (drug). Все семантические атрибуты применимы, так как product_kind='drug' и attr_profile разрешает все поля. Атрибуты извлечены из наименования и состава.",True,,pending_fallback,direction_select,,semantic_primary,success,Ксилометазолин + Ипратропия бромид,,Отривин,,otc,,Ринит,,назально,,спрей назальный,,"0,6 мг/мл + 0,5 мг/мл",,,,флакон 10 мл,,комбинированный,
10458,320,ОПТИМЕД PRO ACTIVE РАСТВОР ДЛЯ КОНТАКТНЫХ ЛИНЗ УНИВЕРСАЛЬНЫЙ 125МЛ | ОПТИМЕДСЕРВИС ЗАО | ОПТИМЕДСЕРВИС ЗАО,clinical_like,Другое медизделие,medical_device,0.85,"Товар является медицинским изделием (clinical_like), поэтому MNN, рецептурность, нозология и комбинация не применимы. Из названия извлечены бренд и форма выпуска (раствор), путь введения — офтальмологический, объём упаковки — 125 мл.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Оптимед PRO ACTIVE,,,,,,офтальмологический,,раствор,,,,,,125 мл,,,
10526,320,ОМИТОКС ГАСТРО КАПС. 20МГ №30 | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД | ШРЕЯ ЛАЙФ САЕНСИЗ ПВТ.ЛТД,,ЖКТ,drug,0.6,"Препарат является лекарственным средством (drug) для ЖКТ. Из текста извлечены форма выпуска (капсулы), дозировка (20 мг) и размер упаковки (30 шт.), однако МНН, рецептурность, нозология и другие атрибуты не определены однозначно из-за отсутствия дополнительных данных.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ОМИТОКС ГАСТРО,,,,,,орально,,капсулы,,20 мг,,,,30 капсул,,,
11225,320,НОРДЕПЛАСТ ПЛАСТЫРЬ МОЗОЛЬНЫЙ КОРН РЕМУВЕР 50X70ММ №2 | НОРДЕПЛАСТ ЛСЭЗ ООО | НОРДЕПЛАСТ ЛСЭЗ ООО,clinical_like,Пластыри,medical_device,0.95,"Товар – медицинское изделие (пластырь мозольный) с клинико-подобным профилем. MNN, рецептурность, нозология и признак комбинации не применимы. Бренд извлечен из названия, лекарственная форма и путь введения указаны в наименовании.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Нордепласт,,,,,,наружно,,пластырь,,,,,,2 шт.,,,
11504,321,НОВЕМА НАЙТ ТАБЛ. П/ПЛЕН/ОБ. 25МГ+220МГ №10 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,Боль и Температура,drug,0.7,"Товар является лекарственным препаратом (drug) из семейства 'Боль и Температура'. Судя по дозировке 25мг+220мг, это, вероятно, комбинация напроксена (аналгезирующее) и дифенгидрамина (снотворное). Атрибуты определены на основе названия и типичных характеристик таких препаратов.",True,,pending_fallback,direction_select,,semantic_primary,success,Напроксен+Дифенгидрамин,,НОВЕМА НАЙТ,,otc,,Болевой синдром,,Внутрь,,Таблетки покрытые пленочной оболочкой,,25мг+220мг,,Взрослые,,№10,,Комбинация двух активных веществ,
11568,321,НИТРОКСОЛИН ТАБЛ. П/О 50МГ №50 АВЕКСИМА | АВЕКСИМА СИБИРЬ ООО/ИРБИТСКИЙ ХФЗ ОАО | АВЕКСИМА СИБИРЬ ООО/ИРБИТСКИЙ ХФЗ ОАО,,Урология,drug,0.95,"Препарат является лекарственным средством (drug) на основе нитроксолина. Все атрибуты, кроме комбинационного признака, определены из названия и контекста.",True,,pending_fallback,direction_select,,semantic_primary,success,Нитроксолин,,Авексима,,рецептурный,,Инфекции мочевыводящих путей,,внутрь,,таблетки покрытые оболочкой,,50 мг,,взрослые,,блистер,,,
11640,321,НИМЕСУЛИД-ВЕРТЕКС ГЕЛЬ Д/НАРУЖ. ПРИМ. 1% ТУБА 20Г | ВЕРТЕКС АО | ВЕРТЕКС АО,,Опорно-двигательный аппарат,drug,0.95,"Препарат является лекарственным средством (drug). Все атрибуты применимы согласно профилю. На основе названия и формы выпуска извлечены: МНН (Нимесулид), бренд (ВЕРТЕКС), форма (гель), дозировка (1%), путь введения (наружно), упаковка (туба 20 г). Нозология предположена как 'Боль костно-мышечная' на основе контекста.",True,,pending_fallback,direction_select,,semantic_primary,success,Нимесулид,,ВЕРТЕКС,,rx,,Боль костно-мышечная,,Наружно,,Гель,,1%,,Взрослые,,Туба 20 г,,,
