product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
86,409,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,drug,,0.95,"Товар является лекарственным препаратом (drug), поэтому все фармацевтические атрибуты применимы. На основе названия определены МНН, бренд, форма, дозировка и упаковка. Препарат отпускается по рецепту.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,"таблетки, покрытые пленочной оболочкой",взрослые,Тадалафил,,Алиум,,rx,,Эректильная дисфункция,,перорально,,таблетки,,20 мг,,взрослые,,N8,,,
88,410,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,drug,,0.9,"Товар является лекарственным средством (drug) с комбинированным составом (диосмин и гесперидин), применяемым при венозной недостаточности. Все атрибуты определены на основе текста и подсказок.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,"таблетки, покрытые пленочной оболочкой",взрослый,Диосмин+Гесперидин,,Алиум,,otc,,Венозная недостаточность,,перорально,,таблетки,,100мг+900мг,,взрослые,,N30,,комбинированный,
90,410,СМАРТГАМ ИМБИРЬ жевательная резинка N10 ВТФ ООО | ВТФ ООО | ВТФ ООО | N10,other,,0.7,"Товар относится к категории 'other', поэтому большинство фармацевтических атрибутов неприменимы. Из доступных полей заполнены только brand и package_hint на основе текста.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,СМАРТГАМ,,,,,,не применимо,,не применимо,,,,не применимо,,N10,,,
92,410,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,drug,,0.7,"Товар является лекарственным препаратом (drug). Название и форма выпуска указаны, но действующее вещество (МНН) не определено из-за отсутствия данных в нормализованном тексте.",True,,pending_fallback,direction_select,,semantic_primary,success,peroral,"таблетки, покрытые пленочной оболочкой",adult,,,Динамико Лонг,,rx,,,,,,таблетки,,20 мг,,взрослые,,8 таблеток,,,
93,410,МАГНИЙ ОПТИМА капс. с витаминами группы В N120 Летофарм ООО | Летофарм ООО | Летофарм ООО | N120,vitamin_or_baa,,0.8,"Товар относится к категории витаминов и БАД (нутрицевтики). Название указывает на комбинированный препарат магния с витаминами группы B, поэтому mnn указан как 'Комплекс', nosology - 'комплексные профили'. Дозировка не указана, возрастной сегмент не определен.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,капсулы,,Комплекс,,Магний Оптима,,,,комплексные профили,,перорально,,капсулы,,,,универсальный,,120 капсул,,магний + витамины группы B,
95,410,ФАРМАЧЕРОТТО пластырь водонепроницаемый бежевый N20 Фармак Дзаббан С.п.А. | Фармак Дзаббан С.п.А. | Фармак Дзаббан С.п.А. | N20,medical_device,clinical_like,0.85,"Товар относится к медицинским изделиям (пластырь водонепроницаемый). Атрибуты mnn, rx_otc, nosology и combination_hint не применимы для данного типа продукта, поэтому они не заполнены.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,пластырь,,,,ФАРМАЧЕРОТТО,,,,,,наружно,,пластырь,,,,,,20,,,
96,410,ПЕЛИГРИН простыни впитывающие одноразовые Классик 60х90см N10 Санте | Санте | Санте | N10,medical_device,hygiene_like,0.8,"Товар относится к медицинским изделиям (гигиенический профиль). Для данного типа товара применимы только бренд, возрастной сегмент и упаковка, остальные фармацевтические атрибуты не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Санте,,,,,,не применимо,,не применимо,,,,не применимо,,10 штук,,,
100,410,ЛЕСНОЙ БАЛЬЗАМ ТОТАЛ КОМПЛЕКС ополаскиватель д/полости рта Антиналет/Защита от кариеса 800мл Калина ООО | Калина ООО | Калина ООО,cosmetic_hygiene,,0.9,"Товар относится к категории косметических средств гигиены (ополаскиватель для полости рта), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология и др.) неприменимы. Указаны бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Лесной бальзам,,,,,,не применимо,,не применимо,,,,не применимо,,800 мл,,,
159,410,ИСИС ФАРМА РУБОРИЛ ЭКСПЕРТ S крем д/сухой/чувствительной кожи 40мл ISIS Pharma | Isis pharma | Isis pharma,cosmetic_hygiene,,0.9,"Товар относится к категории косметика и гигиена (cosmetic_hygiene), поэтому фармацевтические атрибуты (МНН, рецептурность, нозология, форма выпуска и т.д.) неприменимы. Из доступных атрибутов определены бренд и объем упаковки.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Isis Pharma,,,,,,не применимо,,не применимо,,,,не применимо,,40 мл,,,
228,410,БИОДЕРМА ГИДРАБИО сыворотка д/обезвоженной/чувствительной кожи 40мл Bioderma | Bioderma | Bioderma,cosmetic_hygiene,,0.9,"Товар относится к категории косметика/гигиена (cosmetic_hygiene). Для данного типа товара применимы только бренд, возрастной сегмент и упаковка, остальные фармацевтические атрибуты не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Bioderma,,,,,,не применимо,,не применимо,,,,не применимо,,40 мл,,,
